"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zamboni N.S.; Prudêncio M.D.C.; Amaro V.E.; Matos M.D.F.A.D.; Verutes G.M.; Carvalho A.R.","Zamboni, Nadia Selene (57200637792); Prudêncio, Mattheus da Cunha (57198776651); Amaro, Venerando Eustáquio (6506521492); Matos, Maria de Fátima Alves de (57209829532); Verutes, Gregory M. (51462368600); Carvalho, Adriana Rosa (7201882441)","57200637792; 57198776651; 6506521492; 57209829532; 51462368600; 7201882441","The protective role of mangroves in safeguarding coastal populations through hazard risk reduction: A case study in northeast Brazil","2022","Ocean and Coastal Management","229","","106353","","","","6","10.1016/j.ocecoaman.2022.106353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138091375&doi=10.1016%2fj.ocecoaman.2022.106353&partnerID=40&md5=e634d161e65faddb86f96771964dd65b","Article","Final","","Scopus","2-s2.0-85138091375"
"de O. Lessa M.; Q. Calixto G.; das Chagas B.M.E.; M. Aguiar E.; de F. Melo M.A.; M. Braga R.","de O. Lessa, Mayara (57265386000); Q. Calixto, Guilherme (57265386100); das Chagas, Bruna M. E. (57205077641); M. Aguiar, Emerson (57264259200); de F. Melo, Marcus A. (57264259300); M. Braga, Renata (57265386200)","57265386000; 57265386100; 57205077641; 57264259200; 57264259300; 57265386200","Energetic characterization and flash pyrolysis of different elephant grass cultivars (Pennisetum purpureum Schum.)","2022","Canadian Journal of Chemical Engineering","100","10","","2825","2834","9","2","10.1002/cjce.24309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115254006&doi=10.1002%2fcjce.24309&partnerID=40&md5=5c5a6403f74ea23783273a1aa9447b59","Article","Final","","Scopus","2-s2.0-85115254006"
"Coelho J.F.R.; Angeles-Gonzalez L.E.; Cahuich-López M.; Mariño-Tapia I.; Queiroz Lima S.M.","Coelho, Jéssica Fernanda Ramos (57220022177); Angeles-Gonzalez, Luis Enrique (57195073095); Cahuich-López, Miguel (57216874975); Mariño-Tapia, Ismael (56000865600); Queiroz Lima, Sergio Maia (57191822053)","57220022177; 57195073095; 57216874975; 56000865600; 57191822053","Larval dispersal and climate models provide insights into present and future distribution of a tropical sardine","2024","Marine Biology Research","20","1-2","","1","14","13","0","10.1080/17451000.2024.2309562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189639405&doi=10.1080%2f17451000.2024.2309562&partnerID=40&md5=aba4fe263f49bdc501c370010e11e573","Article","Final","","Scopus","2-s2.0-85189639405"
"Costa M.R.A.; Cardoso M.M.L.; Selmeczy G.B.; Padisák J.; Becker V.","Costa, Mariana R. A. (57004410300); Cardoso, Maria M. L. (55851366400); Selmeczy, Géza B. (55225971300); Padisák, Judit (55950119200); Becker, Vanessa (23466395200)","57004410300; 55851366400; 55225971300; 55950119200; 23466395200","Phytoplankton functional responses induced by extreme hydrological events in a tropical reservoir","2024","Hydrobiologia","851","4","","849","867","18","4","10.1007/s10750-023-05241-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159354588&doi=10.1007%2fs10750-023-05241-3&partnerID=40&md5=a8a6b651e4d73747255955fff1c08887","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85159354588"
"dos Santos E.S.; de Araújo Padilha C.E.; de Sousa Júnior F.C.; Rios N.S.","dos Santos, Everaldo Silvino (57212415337); de Araújo Padilha, Carlos Eduardo (57202224296); de Sousa Júnior, Francisco Canindé (35797166000); Rios, Nathália Saraiva (57191074032)","57212415337; 57202224296; 35797166000; 57191074032","Deep Eutectic Solvents: Properties, Applications and Toxicity","2022","Deep Eutectic Solvents: Properties, Applications and Toxicity","","","","1","288","287","3","10.52305/IWUI3187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137918380&doi=10.52305%2fIWUI3187&partnerID=40&md5=36404c33e8d7ad123490c73699a8b7d1","Book","Final","","Scopus","2-s2.0-85137918380"
"Rosiane de Almeida Andrade M.; de Andrade Bezerra J.K.; Duarte L.D.J.N.; Lavoie J.-M.; de Barros Neto E.L.","Rosiane de Almeida Andrade, Maria (59150511600); de Andrade Bezerra, Jessyca Kaenny (59150414900); Duarte, Lindemberg de Jesus Nogueira (8445467000); Lavoie, Jean-Michel (25650425200); de Barros Neto, Eduardo Lins (57226546272)","59150511600; 59150414900; 8445467000; 25650425200; 57226546272","Performance, evaluation and gas emission of diesel and distilled biodiesel blends in IC engine","2024","Biofuels","","","","","","","0","10.1080/17597269.2024.2358564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194708738&doi=10.1080%2f17597269.2024.2358564&partnerID=40&md5=b6b12589f0560a03d4f284220a46e2ca","Article","Article in press","","Scopus","2-s2.0-85194708738"
"Bleuel J.; Waechter L.; Bender M.; Longo G.O.","Bleuel, Jessica (57226513944); Waechter, Luiza (57215587594); Bender, Mariana (54390760500); Longo, Guilherme O. (54979475700)","57226513944; 57215587594; 54390760500; 54979475700","Taxonomic and functional diversity of zooxanthellate corals and hydrocorals in Southwestern Atlantic reefs","2024","Frontiers in Ecology and Evolution","12","","1322751","","","","1","10.3389/fevo.2024.1322751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193252722&doi=10.3389%2ffevo.2024.1322751&partnerID=40&md5=a4ef5b4335e55b9ae323e69206bffbcb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193252722"
"Barros do Nascimento R.A.; Pimenta de Macedo H.; Melo D.M.A.; Santiago R.C.; Rodrigues de Araújo T.; Medeiros R.L.B.A.; Adánez J.","Barros do Nascimento, Rebecca Araújo (57459607600); Pimenta de Macedo, Heloísa (57459744300); Melo, Dulce M. A. (9841064200); Santiago, Rodrigo César (57225424171); Rodrigues de Araújo, Tomaz (57459480800); Medeiros, Rodolfo Luiz B. A. (56272344800); Adánez, Juan (7004924422)","57459607600; 57459744300; 9841064200; 57225424171; 57459480800; 56272344800; 7004924422","Structure and Reactivity of Brazilian Iron Ores as Low-Cost Oxygen Carriers for Chemical Looping Combustion","2022","Industrial and Engineering Chemistry Research","61","6","","2469","2482","13","12","10.1021/acs.iecr.1c03763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124945133&doi=10.1021%2facs.iecr.1c03763&partnerID=40&md5=53afca2c51e9079d048609cce3aa8591","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85124945133"
"Martello M.F.; Bleuel J.; Pennino M.G.; Longo G.O.","Martello, Melina Ferreira (58995811300); Bleuel, Jessica (57226513944); Pennino, Maria Grazia (40762087900); Longo, Guilherme Ortigara (54979475700)","58995811300; 57226513944; 40762087900; 54979475700","Projected climate-driven shifts in coral distribution indicate tropicalisation of Southwestern Atlantic reefs","2024","Diversity and Distributions","","","","","","","1","10.1111/ddi.13851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191004335&doi=10.1111%2fddi.13851&partnerID=40&md5=2bb3b1b1ad1f979ea840c412fdd53bdb","Article","Article in press","All Open Access; Gold Open Access","Scopus","2-s2.0-85191004335"
"Borburema H.D.S.; Karsten U.; Plag N.; Yokoya N.S.; Marinho-Soriano E.","Borburema, Henrique D.S. (57219901263); Karsten, Ulf (56275132900); Plag, Niklas (58307789800); Yokoya, Nair S. (7005308861); Marinho-Soriano, Eliane (6603002482)","57219901263; 56275132900; 58307789800; 7005308861; 6603002482","Low molecular weight carbohydrate patterns of mangrove macroalgae from different climatic niches under ocean acidification, warming and salinity variation","2024","Marine Environmental Research","194","","106316","","","","0","10.1016/j.marenvres.2023.106316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181162299&doi=10.1016%2fj.marenvres.2023.106316&partnerID=40&md5=9c36849889bf781259bde1f3c646f059","Article","Final","","Scopus","2-s2.0-85181162299"
