"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Andrade P.; Silva I.; Silva M.; Flores T.; Cassiano J.; Costa D.G.","Andrade, Pedro (57225443488); Silva, Ivanovitch (36537969500); Silva, Marianne (57207807053); Flores, Thommas (57211156889); Cassiano, Jordão (57696897900); Costa, Daniel G. (35519411300)","57225443488; 36537969500; 57207807053; 57211156889; 57696897900; 35519411300","A TinyML Soft-Sensor Approach for Low-Cost Detection and Monitoring of Vehicular Emissions","2022","Sensors","22","10","3838","","","","25","10.3390/s22103838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130222482&doi=10.3390%2fs22103838&partnerID=40&md5=68fa64602d4e5bdaccdcfbd4041c36bb","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85130222482"
"Cavalcanti W.E.C.; Silva Lopes A.M.; Pergher S.B.C.; Braga T.P.","Cavalcanti, Wesley Eulálio Cabral (57944929900); Silva Lopes, Antônio Marcelo (58236291500); Pergher, Sibele B.C. (6603107199); Braga, Tiago Pinheiro (57220025234)","57944929900; 58236291500; 6603107199; 57220025234","Glycerol conversion in the presence of ethanol over CoFe2O4/SBA-15 mesoporous catalyst: Effect of the co-reagent on the catalytic performance","2023","Microporous and Mesoporous Materials","361","","112743","","","","3","10.1016/j.micromeso.2023.112743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166261718&doi=10.1016%2fj.micromeso.2023.112743&partnerID=40&md5=e32e410367eadb8b817bb953231fbe6f","Article","Final","","Scopus","2-s2.0-85166261718"
"dos Santos E.V.; Cardozo J.C.; Loor-Urgilés L.D.; Oliveira H.L.; Gondim A.D.; Cavalcanti L.N.; Santos J.E.L.; Martínez-Huitle C.A.","dos Santos, Elisama V. (57213395188); Cardozo, Jussara Câmara (57200438665); Loor-Urgilés, Luis D. (58147498700); Oliveira, Herbet L. (58411131700); Gondim, Amanda D. (6507576352); Cavalcanti, Lívia N. (22133783800); Santos, José Eudes L. (57210470251); Martínez-Huitle, Carlos A. (6507655813)","57213395188; 57200438665; 58147498700; 58411131700; 6507576352; 22133783800; 57210470251; 6507655813","Basics and fundamentals of the mechanisms of electrochemical reactors","2024","Advances in Environmental Electrochemistry","","","","1","24","23","0","10.1016/B978-0-443-18820-6.00012-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193393158&doi=10.1016%2fB978-0-443-18820-6.00012-6&partnerID=40&md5=0825e0a72e045acbd4230826915efbb2","Book chapter","Final","","Scopus","2-s2.0-85193393158"
"Fonseca L.M.; Quadra G.R.; Paranaíba J.R.; Pimentel O.A.L.F.; Cotner J.B.; Amado A.M.","Fonseca, Layla Mayer (57375677500); Quadra, Gabrielle Rabelo (57191504487); Paranaíba, José R. (57200520737); Pimentel, Otávio Augusto Lacerda Ferreira (57217119520); Cotner, James B. (6701321646); Amado, André Megali (10244785400)","57375677500; 57191504487; 57200520737; 57217119520; 6701321646; 10244785400","HUMAN IMPACTS ON AQUATIC ECOSYSTEMS FROM THE LENS OF ECOLOGICAL STOICHIOMETRY","2022","Oecologia Australis","26","2","","187","198","11","0","10.4257/oeco.2022.2602.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134150189&doi=10.4257%2foeco.2022.2602.08&partnerID=40&md5=f12838f94b3d62f1f8df27787eaadc01","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85134150189"
"Coelho J.F.R.; Lima S.M.Q.; Petean F.F.","Coelho, Jéssica Fernanda Ramos (57220022177); Lima, Sergio Maia Queiroz (57191822053); Petean, Flávia de Figueiredo (57214166554)","57220022177; 57191822053; 57214166554","Threatened skates exhibit abiotic niche stability despite climate change in the southwestern Atlantic Ocean","2022","Canadian Journal of Zoology","100","4","","273","279","6","0","10.1139/cjz-2021-0092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127595278&doi=10.1139%2fcjz-2021-0092&partnerID=40&md5=c178136c64c75dea6a89a6a9b6eef6ad","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85127595278"
"Moresco G.A.; Dias J.D.; Cabrera-Lamanna L.; Baladán C.; Bizic M.; Rodrigues L.C.; Meerhoff M.","Moresco, Geovani Arnhold (56411999400); Dias, Juliana Déo (34876550100); Cabrera-Lamanna, Lucía (58512843500); Baladán, Claudia (56720470100); Bizic, Mina (55241700900); Rodrigues, Luzia Cleide (8843692700); Meerhoff, Mariana (14016231000)","56411999400; 34876550100; 58512843500; 56720470100; 55241700900; 8843692700; 14016231000","Experimental warming promotes phytoplankton species sorting towards cyanobacterial blooms and leads to potential changes in ecosystem functioning","2024","Science of the Total Environment","924","","171621","","","","0","10.1016/j.scitotenv.2024.171621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187961860&doi=10.1016%2fj.scitotenv.2024.171621&partnerID=40&md5=76de82f95a92b98eb0384b8894bb3193","Article","Final","","Scopus","2-s2.0-85187961860"
"Borburema H.D.S.; Yokoya N.S.; Souza J.M.C.D.; Nauer F.; Barbosa-Silva M.S.; Marinho-Soriano E.","Borburema, Henrique D.S. (57219901263); Yokoya, Nair S. (7005308861); Souza, Jônatas Martinez Canuto de (42361877400); Nauer, Fabio (56444370900); Barbosa-Silva, Marcelle Stephanne (57219903715); Marinho-Soriano, Eliane (6603002482)","57219901263; 7005308861; 42361877400; 56444370900; 57219903715; 6603002482","Ocean warming and increased salinity threaten Bostrychia (Rhodophyta) species from genetically divergent populations","2022","Marine Environmental Research","178","","105662","","","","7","10.1016/j.marenvres.2022.105662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130517219&doi=10.1016%2fj.marenvres.2022.105662&partnerID=40&md5=60be6d2e5a5aeff61ed4eab02db6a004","Article","Final","","Scopus","2-s2.0-85130517219"
"Flores T.; Silva M.; Andrade P.; Silva J.; Silva I.; Sisinni E.; Ferrari P.; Rinaldi S.","Flores, Thommas (57211156889); Silva, Marianne (57207807053); Andrade, Pedro (57225443488); Silva, Jordao (55447877300); Silva, Ivanovitch (36537969500); Sisinni, Emiliano (24777116800); Ferrari, Paolo (57195277194); Rinaldi, Stefano (24477983100)","57211156889; 57207807053; 57225443488; 55447877300; 36537969500; 24777116800; 57195277194; 24477983100","A TinyML Soft-Sensor for the Internet of Intelligent Vehicles","2022","2022 IEEE International Workshop on Metrology for Automotive, MetroAutomotive 2022 - Proceedings","","","","18","23","5","3","10.1109/MetroAutomotive54295.2022.9855110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137181777&doi=10.1109%2fMetroAutomotive54295.2022.9855110&partnerID=40&md5=d20893b7a12258a13014b19a5d1066da","Conference paper","Final","","Scopus","2-s2.0-85137181777"
"Krüger E.L.; dos Santos Gomes A.C.; Lucio P.S.; Gobo J.P.A.; Nedel A.S.; Gonçalves F.L.T.; Piacenti-Silva M.; Di Napoli C.; Lam C.K.C.","Krüger, Eduardo L. (56244643600); dos Santos Gomes, Ana Carla (57949166800); Lucio, Paulo Sérgio (55963139800); Gobo, João Paulo Assis (57195487113); Nedel, Anderson Spohr (26668004900); Gonçalves, Fabio Luiz Teixeira (57201696235); Piacenti-Silva, Marina (55917570500); Di Napoli, Claudia (57191778488); Lam, Cho Kwong Charlie (57037781900)","56244643600; 57949166800; 55963139800; 57195487113; 26668004900; 57201696235; 55917570500; 57191778488; 57037781900","Summary of the first Brazilian Symposium on Human Biometeorology","2023","International Journal of Biometeorology","67","2","","405","408","3","1","10.1007/s00484-022-02401-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140965325&doi=10.1007%2fs00484-022-02401-3&partnerID=40&md5=9919d716925e0b8a10f3934811807abc","Article","Final","","Scopus","2-s2.0-85140965325"
"Furtado D.P.; Vieira E.A.; Nascimento W.F.; Inagaki K.Y.; Bleuel J.; Alves M.A.Z.; Longo G.O.; Oliveira L.S.","Furtado, Daniel P. (58733424200); Vieira, Edson A. (54789296700); Nascimento, Wildna Fernandes (58733057500); Inagaki, Kelly Y. (57211678373); Bleuel, Jessica (57226513944); Alves, Marco Antonio Zanata (40461152700); Longo, Guilherme O. (54979475700); Oliveira, Luiz S. (7201790185)","58733424200; 54789296700; 58733057500; 57211678373; 57226513944; 40461152700; 54979475700; 7201790185","#DeOlhoNosCorais: a polygonal annotated dataset to optimize coral monitoring","2023","PeerJ","11","","e16219","","","","0","10.7717/peerj.16219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178293583&doi=10.7717%2fpeerj.16219&partnerID=40&md5=18da6efc9b1379e6e1ed0d695f0c7926","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85178293583"
"Antongiovanni M.; Venticinque E.M.; Tambosi L.R.; Matsumoto M.; Metzger J.P.; Fonseca C.R.","Antongiovanni, Marina (6507564757); Venticinque, Eduardo M. (6505876898); Tambosi, Leandro R. (26647097800); Matsumoto, Marcelo (55975178300); Metzger, Jean Paul (56462138300); Fonseca, Carlos Roberto (55989546500)","6507564757; 6505876898; 26647097800; 55975178300; 56462138300; 55989546500","Restoration priorities for Caatinga dry forests: Landscape resilience, connectivity and biodiversity value","2022","Journal of Applied Ecology","59","9","","2287","2298","11","13","10.1111/1365-2664.14131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125520644&doi=10.1111%2f1365-2664.14131&partnerID=40&md5=484b88728e53f7f8b7f6afe9de67389b","Article","Final","","Scopus","2-s2.0-85125520644"
"Bonilla S.; Aguilera A.; Aubriot L.; Huszar V.; Almanza V.; Haakonsson S.; Izaguirre I.; O'Farrell I.; Salazar A.; Becker V.; Cremella B.; Ferragut C.; Hernandez E.; Palacio H.; Rodrigues L.C.; Sampaio da Silva L.H.; Santana L.M.; Santos J.; Somma A.; Ortega L.; Antoniades D.","Bonilla, Sylvia (36785334500); Aguilera, Anabella (56644177900); Aubriot, Luis (6507037817); Huszar, Vera (6602285839); Almanza, Viviana (16041597100); Haakonsson, Signe (56685832700); Izaguirre, Irina (6701586448); O'Farrell, Inés (6603466340); Salazar, Anthony (55580815900); Becker, Vanessa (23466395200); Cremella, Bruno (57204685144); Ferragut, Carla (35336483300); Hernandez, Esnedy (25958085200); Palacio, Hilda (56993075700); Rodrigues, Luzia Cleide (8843692700); Sampaio da Silva, Lúcia Helena (58022995200); Santana, Lucineide Maria (57189758559); Santos, Juliana (56609639200); Somma, Andrea (57191428330); Ortega, Laura (57217119747); Antoniades, Dermot (6701397688)","36785334500; 56644177900; 6507037817; 6602285839; 16041597100; 56685832700; 6701586448; 6603466340; 55580815900; 23466395200; 57204685144; 35336483300; 25958085200; 56993075700; 8843692700; 58022995200; 57189758559; 56609639200; 57191428330; 57217119747; 6701397688","Nutrients and not temperature are the key drivers for cyanobacterial biomass in the Americas","2023","Harmful Algae","121","","102367","","","","28","10.1016/j.hal.2022.102367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144300405&doi=10.1016%2fj.hal.2022.102367&partnerID=40&md5=27c84b8649eb33fa740ae4e7a28dd432","Article","Final","","Scopus","2-s2.0-85144300405"
"Silva F.E.S.; Lima M.J.S.; Oliveira G.S.; Gomes U.U.","Silva, Fernando E.S. (57213015773); Lima, Maria J.S. (57190572409); Oliveira, Gerlânea S. (57213564050); Gomes, Uílame U. (7003490720)","57213015773; 57190572409; 57213564050; 7003490720","Influence of synthesis parameters of WC-Ni/activated carbon in the specific surface area","2023","Ceramics International","49","8","","12846","12855","9","0","10.1016/j.ceramint.2022.12.155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148734795&doi=10.1016%2fj.ceramint.2022.12.155&partnerID=40&md5=72849bb2f88f30dfb42d390c3ba668f0","Article","Final","","Scopus","2-s2.0-85148734795"
"Hatjiathanassiadou M.; Rolim P.M.; Seabra L.M.J.","Hatjiathanassiadou, Maria (57211355119); Rolim, Priscilla Moura (35219280000); Seabra, Larissa Mont'Alverne Jucá (6602954972)","57211355119; 35219280000; 6602954972","Nutrition and its footprints: Using environmental indicators to assess the nexus between sustainability and food","2023","Frontiers in Sustainable Food Systems","6","","1078997","","","","3","10.3389/fsufs.2022.1078997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146681990&doi=10.3389%2ffsufs.2022.1078997&partnerID=40&md5=12578ec87a829c3f8a39173b3ce196be","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146681990"
"de Oliveira G.S.; Lobo C.E.S.; Padilha C.E.A.; Souza D.F.S.; Ruiz J.A.C.","de Oliveira, Giovanny S. (58107194800); Lobo, Ciro E.S. (58403905100); Padilha, Carlos E.A. (57202224296); Souza, Domingos F.S. (55312444500); Ruiz, Juan A.C. (16200237200)","58107194800; 58403905100; 57202224296; 55312444500; 16200237200","Glycerin combustion through chemical looping","2023","Fuel","352","","129038","","","","1","10.1016/j.fuel.2023.129038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163507157&doi=10.1016%2fj.fuel.2023.129038&partnerID=40&md5=60a7b6ba5370ee8b19a2a60d92336e6d","Article","Final","","Scopus","2-s2.0-85163507157"
"de Souza M.G.; Melo D.M.A.; Medeiros R.L.B.A.; Maziviero F.V.; Macedo H.P.; Oliveira Â.A.S.; Braga R.M.","de Souza, Marcel G. (57397471600); Melo, Dulce M.A. (9841064200); Medeiros, Rodolfo L.B.A. (56272344800); Maziviero, Fernando V. (57201802198); Macedo, Heloísa P. (54886224000); Oliveira, Ângelo A.S. (57190272801); Braga, Renata M. (55210068400)","57397471600; 9841064200; 56272344800; 57201802198; 54886224000; 57190272801; 55210068400","NiO–MgAl2O4 systems for dry reforming of methane: Effect of the combustion synthesis route in the catalysts properties","2022","Materials Chemistry and Physics","278","","125599","","","","2","10.1016/j.matchemphys.2021.125599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122296434&doi=10.1016%2fj.matchemphys.2021.125599&partnerID=40&md5=dea98bce0d1e621d4ad85dcfea5bf19e","Article","Final","","Scopus","2-s2.0-85122296434"
"da Costa G.B.; Fernandes D.D.D.S.; Véras Neto J.G.; Diniz P.H.G.D.; Gondim A.D.","da Costa, Gean Bezerra (55193028500); Fernandes, David Douglas de Sousa (54415480100); Véras Neto, José Germano (6602560792); Diniz, Paulo Henrique Gonçalves Dias (56025538900); Gondim, Amanda Duarte (6507576352)","55193028500; 54415480100; 6602560792; 56025538900; 6507576352","Non-destructive analytical strategies based on NIR spectroscopy for monitoring the quality of biodiesel/diesel blends in terms of the authentication of second-generation biodiesel feedstock using DD-SIMCA and quantification of the biodiesel content using iSPA-PLS","2023","Vibrational Spectroscopy","129","","103585","","","","1","10.1016/j.vibspec.2023.103585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171348960&doi=10.1016%2fj.vibspec.2023.103585&partnerID=40&md5=600db078ace775932dc0aad7f75305a6","Article","Final","","Scopus","2-s2.0-85171348960"
"Silveira M.M.; Donelson J.M.; McCormick M.I.; Araujo-Silva H.; Luchiari A.C.","Silveira, Mayara M. (56494336900); Donelson, Jennifer M. (24279712700); McCormick, Mark I. (7202418448); Araujo-Silva, Heloysa (57205231245); Luchiari, Ana C. (6507023316)","56494336900; 24279712700; 7202418448; 57205231245; 6507023316","Impact of ocean warming on a coral reef fish learning and memory","2023","PeerJ","11","","e15729","","","","1","10.7717/peerj.15729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170239855&doi=10.7717%2fpeerj.15729&partnerID=40&md5=d01fa7f560cb756c7fdf2e2026a5260e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85170239855"
"Moreira C.V.M.; da Costa M.R.A.; Becker V.","Moreira, Caio Vitor Matos (58517000100); da Costa, Mariana Rodrigues Amaral (57004410300); Becker, Vanessa (23466395200)","58517000100; 57004410300; 23466395200","Impacts of extreme precipitation events in water quality: a scientometric analysis in global scale; [Impactos de eventos extremos de precipitação na qualidade da água: uma análise cienciométrica em escala global]","2023","Acta Limnologica Brasiliensia","35","","e17","","","","2","10.1590/S2179-975X0223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166435935&doi=10.1590%2fS2179-975X0223&partnerID=40&md5=dfb19eaf4cf5377f31d051c7c4ef8aab","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166435935"
"Mutti P.R.; Dubreuil V.; Bezerra B.G.; Arvor D.; Funatsu B.M.; Santos e Silva C.M.","Mutti, Pedro R. (57207758395); Dubreuil, Vincent (14019498900); Bezerra, Bergson G. (35931965900); Arvor, Damien (24079960900); Funatsu, Beatriz M. (17433981300); Santos e Silva, Cláudio M. (57215141564)","57207758395; 14019498900; 35931965900; 24079960900; 17433981300; 57215141564","Long-term meteorological drought characterization in the São Francisco watershed, Brazil: A climatic water balance approach","2022","International Journal of Climatology","42","16","","8162","8183","21","3","10.1002/joc.7701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130921452&doi=10.1002%2fjoc.7701&partnerID=40&md5=0e79ab95dcf840f747f0096c61557291","Article","Final","","Scopus","2-s2.0-85130921452"
"Silva W.C.L.; Almeida J.N.S.; Silva N.F.I.; Pereira I.C.B.; Sousa Í.R.B.A.; Santos J.R.D.; Ueki M.M.; Pisanu L.; Santos L.H.S.; Medeiros E.S.; Wellen R.M.R.; Barbosa J.D.V.; Santos A.S.F.","Silva, William C. L. (59176308900); Almeida, Júlia N. S. (58672379300); Silva, Natália F. I. (57611225500); Pereira, Isabela C. B. (59175912700); Sousa, Ítalo R. B. A. (59175912800); Santos, Jakeline R. D. (55490642000); Ueki, Marcelo M. (7101654544); Pisanu, Luciano (57189307347); Santos, Luís H. S. (59175650900); Medeiros, Eliton S. (12790029800); Wellen, Renate M. R. (11440162500); Barbosa, Josiane D. V. (57192191365); Santos, Amelia S. F. (36350050800)","59176308900; 58672379300; 57611225500; 59175912700; 59175912800; 55490642000; 7101654544; 57189307347; 59175650900; 12790029800; 11440162500; 57192191365; 36350050800","Evaluation of the processing conditions on the production of expanded or plasticized wood plastic composite with cashew nutshell powder","2024","International Polymer Processing","","","","","","","0","10.1515/ipp-2023-4472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196182947&doi=10.1515%2fipp-2023-4472&partnerID=40&md5=228b5f211324f779ebc59b433aa89e46","Article","Article in press","","Scopus","2-s2.0-85196182947"
"Vasconcelos R.M.D.; Silva L.L.C.; González M.O.A.; Santiso A.M.; de Melo D.C.","Vasconcelos, Rafael Monteiro de (57192078741); Silva, Lara Luana Cirilo (57198466771); González, Mario Orestes Aguirre (55237687400); Santiso, Andressa Medeiros (57218374167); de Melo, David Cassimiro (57200523083)","57192078741; 57198466771; 55237687400; 57218374167; 57200523083","Environmental licensing for offshore wind farms: Guidelines and policy implications for new markets","2022","Energy Policy","171","","113248","","","","9","10.1016/j.enpol.2022.113248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138666152&doi=10.1016%2fj.enpol.2022.113248&partnerID=40&md5=0a7a18feec209cb6d22ea3b76653a012","Article","Final","","Scopus","2-s2.0-85138666152"
"Flores T.; Andrade M.; Medeiros M.; Amaral M.; Silva M.; Silva I.","Flores, Thommas (57211156889); Andrade, Matheus (58849970600); Medeiros, Morsinaldo (58168755900); Amaral, Miguel (58538797700); Silva, Marianne (57207807053); Silva, Ivanovitch (36537969500)","57211156889; 58849970600; 58168755900; 58538797700; 57207807053; 36537969500","Leveraging IoT and TinyML for Smart Battery Management in Electric Bicycles","2023","2023 Symposium on Internet of Things, SIoT 2023","","","","","","","0","10.1109/SIoT60039.2023.10390169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184797102&doi=10.1109%2fSIoT60039.2023.10390169&partnerID=40&md5=16876b79dc1604f1ac5b12b6e2bbd5cd","Conference paper","Final","","Scopus","2-s2.0-85184797102"
