"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Almeida Aloise D.; de Assis Maia-Lima F.; de Oliveira R.M.; de Melo Cabral T.; Molina W.F.","de Almeida Aloise, Débora (35751069400); de Assis Maia-Lima, Francisco (35751115900); de Oliveira, Ruth Medeiros (37051910600); de Melo Cabral, Thiago (35751364200); Molina, Wagner Franco (6602902653)","35751069400; 35751115900; 37051910600; 35751364200; 6602902653","Ploidy Manipulation and Polyploid Detection in the White Shrimp Litopenaeus vannamei (Boone 1931) (Decapoda, Penaeidae)","2011","Marine Biotechnology","13","1","","41","47","6","6","10.1007/s10126-010-9266-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952279951&doi=10.1007%2fs10126-010-9266-2&partnerID=40&md5=f8c23bab70e94813e673044e808afbe0","Article","Final","","Scopus","2-s2.0-79952279951"
"Souza R.G.; Silva D.K.A.; Oliveira J.R.G.; Goto B.T.; Silva F.S.B.; Sampaio E.V.S.B.; Maia L.C.","Souza, Renata G. (54419059500); Silva, Danielle Karla A. (25924211900); Oliveira, João Ricardo G. (36118730800); Goto, Bruno T. (8441449000); Silva, Fábio Sérgio B. (16028010100); Sampaio, Everardo V.S.B. (35617128600); Maia, Leonor C. (7005513984)","54419059500; 25924211900; 36118730800; 8441449000; 16028010100; 35617128600; 7005513984","Use of mycorrhizal seedlings on recovery of mined dunes in northeastern Brazil","2012","Pedobiologia","55","6","","303","309","6","11","10.1016/j.pedobi.2012.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869096363&doi=10.1016%2fj.pedobi.2012.06.002&partnerID=40&md5=70fdc1a8db1fb18df4c53e7a8fb84648","Article","Final","","Scopus","2-s2.0-84869096363"
"Sternberg L.; Ramos E Silva C.; Dávalos P.","Sternberg, Leonel (7005031926); Ramos E Silva, Carlos (12783110500); Dávalos, Pablo (36660546000)","7005031926; 12783110500; 36660546000","Shrimp farming: Where does the carbon go?","2013","Central European Geology","56","1","","13","18","5","3","10.1556/CEuGeol.56.2013.1.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886655242&doi=10.1556%2fCEuGeol.56.2013.1.2&partnerID=40&md5=24214abacafc2486dbf4dcccb6a0dd0e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84886655242"
"Silva J.F.X.; Ribeiro K.; Cahú T.B.; Bezerra R.S.","Silva, J.F.X. (55447885400); Ribeiro, K. (36879807700); Cahú, T.B. (26022257100); Bezerra, R.S. (7003699879)","55447885400; 36879807700; 26022257100; 7003699879","Utilization of tilapia processing waste for the production of fish protein hydrolysate","2014","Animal Feed Science and Technology","196","","","96","106","10","90","10.1016/j.anifeedsci.2014.06.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906944949&doi=10.1016%2fj.anifeedsci.2014.06.010&partnerID=40&md5=234c7ced095c9050d865379e9cd61eb1","Article","Final","","Scopus","2-s2.0-84906944949"
"Ferreira T.S.; De Araújo M.N.C.; Da Silva F.C.A.","Ferreira, Talles Souza (36682362500); De Araújo, Mário Neto Cavalcanti (56257719000); Da Silva, Fernando César Alves (6507782404)","36682362500; 56257719000; 6507782404","Cenozoic contractional deformation in the Cumuruxatiba Basin: Interaction between halokinesis and Abrolhos magmatism; [Deformação contracional cenozoica na bacia de Cumuruxatiba: Interação entre a halocinese e magmatismo de Abrolhos]","2012","Boletim de Geociencias da Petrobras","21","1","","179","206","27","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906545703&partnerID=40&md5=f61e04bb498f025cf3e0735e8baa761e","Article","Final","","Scopus","2-s2.0-84906545703"
"de Souza Araujo D.F.; Silvestre D.D.; da Silva Chaves Damasceno K.S.F.; de Fátima Campos Pedrosa L.; Seabra L.M.A.J.","de Souza Araujo, Daline Fernandes (59158019600); Silvestre, Danielle Damasceno (55314892000); da Silva Chaves Damasceno, Karla Suzanne Florentino (55315105200); de Fátima Campos Pedrosa, Lucia (6603177511); Seabra, Larissa Mont' Alverne Jucá (6602954972)","59158019600; 55314892000; 55315105200; 6603177511; 6602954972","Proximate composition and cholesterol content of the Pacific white shrimp; [Composição centesimal e teor de colesterol do camarão branco do Pacífico]","2012","Ciencia Rural","42","6","","1130","1133","3","6","10.1590/S0103-84782012000600029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863951048&doi=10.1590%2fS0103-84782012000600029&partnerID=40&md5=091236448dc5c52afd8cb4befb052ce0","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84863951048"
"Accioly I.V.; Lima-Filho P.A.; Santos T.L.; Barbosa A.C.A.; Campos L.B.S.; Souza J.V.; Araújo W.C.; Molina W.F.","Accioly, Ingrid V. (24477183100); Lima-Filho, Paulo A. (51864260500); Santos, Terezinha L. (55995323300); Barbosa, Ana C. A. (55995196600); Campos, Lourdes B. Santos (55994963300); Souza, Josemairy V. (55994523700); Araújo, Washington C. (55994876400); Molina, Wagner F. (6602902653)","24477183100; 51864260500; 55995323300; 55995196600; 55994963300; 55994523700; 55994876400; 6602902653","Sexual dimorphism in Litopenaeus vannamei (Decapoda) identified by geometric morphometrics","2013","Pan-American Journal of Aquatic Sciences","8","4","","276","281","5","22","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891910456&partnerID=40&md5=c48c167179f8957adf6074e5fb8499b7","Article","Final","","Scopus","2-s2.0-84891910456"
"Ger K.A.; Panosso R.; Lurling M.","Ger, Kemal Ali (24366701600); Panosso, Renata (6507560049); Lurling, Miquel (6701468030)","24366701600; 6507560049; 6701468030","Consequences of acclimation to Microcystis on the selective feeding behavior of the calanoid copepod Eudiaptomus gracilis","2011","Limnology and Oceanography","56","6","","2103","2114","11","44","10.4319/lo.2011.56.6.2103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857749034&doi=10.4319%2flo.2011.56.6.2103&partnerID=40&md5=3504dd8c8b4503e4c7feede1a3ff46be","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84857749034"
"Angelini R.; Aloísio G.R.; Carvalho A.R.","Angelini, Ronaldo (56249804800); Aloísio, Gustavo Ribeiro (42260930900); Carvalho, Adriana Rosa (7201882441)","56249804800; 42260930900; 7201882441","Mixed food web control and stability in a Cerrado river (Brazil)","2011","Pan-American Journal of Aquatic Sciences","5","3","","421","431","10","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959944059&partnerID=40&md5=1c8cd5874bd1891b49418cd65fafb861","Article","Final","","Scopus","2-s2.0-79959944059"
"De Da Cunha C.L.N.; Scudelari A.C.; Gonçalves J.E.; Mercuri E.G.F.","De Da Cunha, C.L.N. (55180339900); Scudelari, A.C. (55025353500); Gonçalves, J.E. (56817927900); Mercuri, E.G.F. (55019254500)","55180339900; 55025353500; 56817927900; 55019254500","Assessment of sanitary sewage pollution in the Paranaguá Estuarine Complex of Paranaguá, Brazil using environmental modeling","2011","Journal of Coastal Research","","SPEC. ISSUE 64","","912","916","4","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857408605&partnerID=40&md5=bf337667274e2e2066b5695f50f7fc71","Conference paper","Final","","Scopus","2-s2.0-84857408605"
