"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zamboni N.S.; Prudêncio M.D.C.; Amaro V.E.; Matos M.D.F.A.D.; Verutes G.M.; Carvalho A.R.","Zamboni, Nadia Selene (57200637792); Prudêncio, Mattheus da Cunha (57198776651); Amaro, Venerando Eustáquio (6506521492); Matos, Maria de Fátima Alves de (57209829532); Verutes, Gregory M. (51462368600); Carvalho, Adriana Rosa (7201882441)","57200637792; 57198776651; 6506521492; 57209829532; 51462368600; 7201882441","The protective role of mangroves in safeguarding coastal populations through hazard risk reduction: A case study in northeast Brazil","2022","Ocean and Coastal Management","229","","106353","","","","6","10.1016/j.ocecoaman.2022.106353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138091375&doi=10.1016%2fj.ocecoaman.2022.106353&partnerID=40&md5=e634d161e65faddb86f96771964dd65b","Article","Final","","Scopus","2-s2.0-85138091375"
"Cavalcante B.P.; Silva K.R.; de Souza E.H.; Versieux L.M.; Martinelli A.P.","Cavalcante, Brayan Paiva (57215107834); Silva, Kleber Resende (56277987500); de Souza, Everton Hilo (24466252900); Versieux, Leonardo M. (19934359300); Martinelli, Adriana Pinheiro (7403543608)","57215107834; 56277987500; 24466252900; 19934359300; 7403543608","Hohenbergia erecta (Bromeliaceae: Bromelioideae), a New Once-branched Species from Chapada Diamantina, Bahia State, Brazil","2022","Tropical Plant Biology","15","4","","319","325","6","1","10.1007/s12042-022-09325-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144295662&doi=10.1007%2fs12042-022-09325-7&partnerID=40&md5=f34700f77cf46e66b71c3da133d3b6cb","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85144295662"
"Pereira C.V.M.; de Sousa M.N.F.A.; Araujo F.S.; Neto I.C.; Ferreira J.C.V.; Cunha P.E.V.; da Cunha K.P.V.; Costa C.W.","Pereira, Caio Victor Macêdo (58938327100); de Sousa, Matheus Natan Ferreira Alves (58937682400); Araujo, Fellipe Souza (58938327200); Neto, Ivo Cavalcanti (58938327300); Ferreira, Joyce Clara Vieira (58937682500); Cunha, Paulo Eduardo Vieira (57200611916); da Cunha, Karina Patrícia Vieira (21734369700); Costa, Carlos Wilmer (57200572275)","58938327100; 58937682400; 58938327200; 58938327300; 58937682500; 57200611916; 21734369700; 57200572275","Environmental vulnerability in Permanent Preservation Areas (PPA) of the Potengi River Watershed, RN, Brazil; [Vulnerabilidade ambiental em Áreas de Preservação Permanente (APP) da Bacia Hidrográfica do Rio Potengi, RN, Brasil]","2024","Revista de Geociencias do Nordeste","10","1","","197","221","24","0","10.21680/2447-3359.2024v10n1ID32574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188466809&doi=10.21680%2f2447-3359.2024v10n1ID32574&partnerID=40&md5=73d8220b59f89941f361beb24103df4b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188466809"
"Pezzuti J.C.B.; Zuanon J.; Lopes P.F.M.; Carneiro C.C.; Sawakuchi A.O.; Montovanelli T.R.; Akama A.; Ribas C.C.; Juruna D.; Fearnside P.M.","Pezzuti, Juarez C.B. (29567529100); Zuanon, Jansen (6506326749); Lopes, Priscila F.M. (56468837900); Carneiro, Cristiane C. (58709341400); Sawakuchi, André Oliveira (15840884400); Montovanelli, Thais R. (59149489800); Akama, Alberto (12785527500); Ribas, Camila C. (9234281100); Juruna, Diel (59149779400); Fearnside, Philip M. (7006700988)","29567529100; 6506326749; 56468837900; 58709341400; 15840884400; 59149489800; 12785527500; 9234281100; 59149779400; 7006700988","Brazil's Belo Monte license renewal and the need to recognize the immense impacts of dams in Amazonia","2024","Perspectives in Ecology and Conservation","22","2","","112","117","5","0","10.1016/j.pecon.2024.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194538805&doi=10.1016%2fj.pecon.2024.05.001&partnerID=40&md5=f453663bf952eaa2e716cbaa9e364eac","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194538805"
"Menezes J.; Batista S.; Tenorio M.; Triaca E.; Moura B.","Menezes, J. (13805898100); Batista, S. (57453652300); Tenorio, M. (57453652400); Triaca, E. (57221961420); Moura, B. (57203140493)","13805898100; 57453652300; 57453652400; 57221961420; 57203140493","How local antipredator response unbalances the rock-paper-scissors model","2022","Chaos","32","12","123142","","","","8","10.1063/5.0106165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145425536&doi=10.1063%2f5.0106165&partnerID=40&md5=04d06ee9d6f5fdab32738463da66afd7","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85145425536"
"Ralimanana H.; Perrigo A.L.; Smith R.J.; Borrell J.S.; Faurby S.; Rajaonah M.T.; Randriamboavonjy T.; Vorontsova M.S.; Cooke R.S.C.; Phelps L.N.; Sayol F.; Andela N.; Andermann T.; Andriamanohera A.M.; Andriambololonera S.; Bachman S.P.; Bacon C.D.; Baker W.J.; Belluardo F.; Birkinshaw C.; Cable S.; Canales N.A.; Carrillo J.D.; Clegg R.; Clubbe C.; Crottini A.; Damasco G.; Dhanda S.; Edler D.; Farooq H.; de Lima Ferreira P.; Fisher B.L.; Forest F.; Gardiner L.M.; Goodman S.M.; Grace O.M.; Guedes T.B.; Hackel J.; Henniges M.C.; Hill R.; Lehmann C.E.R.; Lowry P.P., II; Marline L.; Matos-Maraví P.; Moat J.; Neves B.; Nogueira M.G.C.; Onstein R.E.; Papadopulos A.S.T.; Perez-Escobar O.A.; Phillipson P.B.; Pironon S.; Przelomska N.A.S.; Rabarimanarivo M.; Rabehevitra D.; Raharimampionona J.; Rajaonary F.; Rajaovelona L.R.; Rakotoarinivo M.; Rakotoarisoa A.A.; Rakotoarisoa S.E.; Rakotomalala H.N.; Rakotonasolo F.; Ralaiveloarisoa B.A.; Ramirez-Herranz M.; Randriamamonjy J.E.N.; Randrianasolo V.; Rasolohery A.; Ratsifandrihamanana A.N.; Ravololomanana N.; Razafiniary V.; Razanajatovo H.; Razanatsoa E.; Rivers M.; Silvestro D.; Testo W.; Torres Jiménez M.F.; Walker K.; Walker B.E.; Wilkin P.; Williams J.; Ziegler T.; Zizka A.; Antonelli A.","Ralimanana, Hélène (6505666009); Perrigo, Allison L. (54980377800); Smith, Rhian J. (20434364600); Borrell, James S. (56033680900); Faurby, Søren (15727740000); Rajaonah, Mamy Tiana (22433592900); Randriamboavonjy, Tianjanahary (55183655600); Vorontsova, Maria S. (18438597400); Cooke, Robert S.C. (57200382071); Phelps, Leanne N. (57194422608); Sayol, Ferran (57148498300); Andela, Niels (55911181900); Andermann, Tobias (57202956432); Andriamanohera, Andotiana M. (57990297700); Andriambololonera, Sylvie (18036725100); Bachman, Steven P. (7003318277); Bacon, Christine D. (57210993779); Baker, William J. (7202916333); Belluardo, Francesco (56514172600); Birkinshaw, Chris (15078007800); Cable, Stuart (54411856600); Canales, Nataly A. (57211915632); Carrillo, Juan D. (56446371100); Clegg, Rosie (57222285433); Clubbe, Colin (6505449703); Crottini, Angelica (16686255200); Damasco, Gabriel (37002419300); Dhanda, Sonia (57214230853); Edler, Daniel (57186736200); Farooq, Harith (56721138400); de Lima Ferreira, Paola (57197781230); Fisher, Brian L. (56939883000); Forest, Félix (15922773000); Gardiner, Lauren M. (25960709000); Goodman, Steven M. (7402115522); Grace, Olwen M. (6701670136); Guedes, Thaís B. (6506006739); Hackel, Jan (57194074209); Henniges, Marie C. (57415219400); Hill, Rowena (57206893431); Lehmann, Caroline E.R. (23969137800); Lowry, Porter P. (7102105741); Marline, Lovanomenjanahary (55339190500); Matos-Maraví, Pável (55377220100); Moat, Justin (6507046506); Neves, Beatriz (56684729900); Nogueira, Matheus G.C. (57198776643); Onstein, Renske E. (56313091000); Papadopulos, Alexander S.T. (35103313100); Perez-Escobar, Oscar A. (55745490000); Phillipson, Peter B. (6701807879); Pironon, Samuel (55773188000); Przelomska, Natalia A.S. (57133147900); Rabarimanarivo, Marina (45861509700); Rabehevitra, David (14042416200); Raharimampionona, Jeannie (18038444900); Rajaonary, Fano (57990212500); Rajaovelona, Landy R. (56340626900); Rakotoarinivo, Mijoro (20434371100); Rakotoarisoa, Amédée A. (57990212600); Rakotoarisoa, Solofo E. (56340462800); Rakotomalala, Herizo N. (57192708818); Rakotonasolo, Franck (6507746708); Ralaiveloarisoa, Berthe A. (57990195700); Ramirez-Herranz, Myriam (57194084302); Randriamamonjy, Jean Emmanuel N. (57990297800); Randrianasolo, Vonona (57990179300); Rasolohery, Andriambolantsoa (55181720300); Ratsifandrihamanana, Anitry N. (55929568200); Ravololomanana, Noro (57990297900); Razafiniary, Velosoa (57990227800); Razanajatovo, Henintsoa (57223842535); Razanatsoa, Estelle (57223982984); Rivers, Malin (35746902100); Silvestro, Daniele (24725382100); Testo, Weston (54891966000); Torres Jiménez, Maria F. (57222603539); Walker, Kim (57211922666); Walker, Barnaby E. (57204688109); Wilkin, Paul (7005069713); Williams, Jenny (55499988800); Ziegler, Thomas (55200492000); Zizka, Alexander (54780951100); Antonelli, Alexandre (23017926000)","6505666009; 54980377800; 20434364600; 56033680900; 15727740000; 22433592900; 55183655600; 18438597400; 57200382071; 57194422608; 57148498300; 55911181900; 57202956432; 57990297700; 18036725100; 7003318277; 57210993779; 7202916333; 56514172600; 15078007800; 54411856600; 57211915632; 56446371100; 57222285433; 6505449703; 16686255200; 37002419300; 57214230853; 57186736200; 56721138400; 57197781230; 56939883000; 15922773000; 25960709000; 7402115522; 6701670136; 6506006739; 57194074209; 57415219400; 57206893431; 23969137800; 7102105741; 55339190500; 55377220100; 6507046506; 56684729900; 57198776643; 56313091000; 35103313100; 55745490000; 6701807879; 55773188000; 57133147900; 45861509700; 14042416200; 18038444900; 57990212500; 56340626900; 20434371100; 57990212600; 56340462800; 57192708818; 6507746708; 57990195700; 57194084302; 57990297800; 57990179300; 55181720300; 55929568200; 57990297900; 57990227800; 57223842535; 57223982984; 35746902100; 24725382100; 54891966000; 57222603539; 57211922666; 57204688109; 7005069713; 55499988800; 55200492000; 54780951100; 23017926000","Madagascar’s extraordinary biodiversity: Threats and opportunities","2022","Science","378","6623","eadf1466","","","","35","10.1126/science.adf1466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143185473&doi=10.1126%2fscience.adf1466&partnerID=40&md5=c4fd0673fd3505b61cfa74347407a0a7","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85143185473"
"Rocha E.L.B.; dos Santos Magalhães M.; Rocha L.I.Q.; de Araújo Gomes V.L.; de Souza Junior Z.J.; de Macêdo L.B.; da Silva Braz J.K.F.; de Oliveira M.F.; de Moura C.E.B.","Rocha, Emanuel Lucas Bezerra (57208080037); dos Santos Magalhães, Marcela (57891784700); Rocha, Layla Ianca Queiroz (57812661700); de Araújo Gomes, Vilessa Lílian (56226515200); de Souza Junior, Zacarias Jacinto (58513963300); de Macêdo, Luã Barbalho (56513710000); da Silva Braz, Janine Karla França (56226895100); de Oliveira, Moacir Franco (16679371900); de Moura, Carlos Eduardo Bezerra (22135501100)","57208080037; 57891784700; 57812661700; 56226515200; 58513963300; 56513710000; 56226895100; 16679371900; 22135501100","Developmental heart morphology in the Amazon turtle Podocnemis expansa (Testudines: Podocnemidae)","2023","Zoomorphology","142","4","","497","508","11","0","10.1007/s00435-023-00616-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166292578&doi=10.1007%2fs00435-023-00616-5&partnerID=40&md5=8a3625a69a95b623aa497322b812c7b8","Article","Final","","Scopus","2-s2.0-85166292578"
"Souza Filho P.F.; dos Santos E.S.","Souza Filho, Pedro F (57201022324); dos Santos, Everaldo S (57212415337)","57201022324; 57212415337","Solid-State Fermentation of Steam-Exploded Opuntia ficus-indica Cladodes Using Trichoderma reesei CCT-2768 for the Production of Cellulolytic Enzymes","2023","Applied Biochemistry and Biotechnology","195","3","","1675","1698","23","0","10.1007/s12010-022-04222-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141755578&doi=10.1007%2fs12010-022-04222-x&partnerID=40&md5=23c41a7bcc584a332c6d45da4f813e18","Article","Final","","Scopus","2-s2.0-85141755578"
"da Silva N.F.; de Araújo M.C.B.; Silva-Cavalcanti J.S.","da Silva, Nirhvana Felipe (58342356300); de Araújo, Maria Christina Barbosa (57203521722); Silva-Cavalcanti, Jacqueline Santos (26030091200)","58342356300; 57203521722; 26030091200","Cigarette butts in the environment: a growing global threat?","2023","Environmental Reviews","31","2","","229","242","13","4","10.1139/er-2022-0080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161601408&doi=10.1139%2fer-2022-0080&partnerID=40&md5=a28618f81f9e9d8f6ea8e98740048ad2","Article","Final","","Scopus","2-s2.0-85161601408"
"Lucas F.M.F.; Araujo E.C.G.; Fiedler N.C.; Santana J.A.D.S.; Tetto A.F.","Lucas, Fernanda Moura Fonseca (57218587310); Araujo, Emmanoella Costa Guaraná (57218836310); Fiedler, Nilton Cesar (56240809800); Santana, José Augusto da Silva (36661416700); Tetto, Alexandre França (36132294700)","57218587310; 57218836310; 56240809800; 36661416700; 36132294700","Scientific gaps on forest fires in Brazilian protected areas","2023","Forest Ecology and Management","529","","120739","","","","3","10.1016/j.foreco.2022.120739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144633019&doi=10.1016%2fj.foreco.2022.120739&partnerID=40&md5=acb5b4daaf08c9f23b768f3a6b93b1bf","Review","Final","","Scopus","2-s2.0-85144633019"
