"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Shrestha S.; Gautam T.P.; Mandal T.N.; Raut J.K.; Goto B.T.; Chaudhary S.","Shrestha, Sabitri (58395265800); Gautam, Tilak Prasad (55803997400); Mandal, Tej Narayan (56681356400); Raut, Jay Kant (37056261300); Goto, Bruno Tomio (8441449000); Chaudhary, Sujan (57225036357)","58395265800; 55803997400; 56681356400; 37056261300; 8441449000; 57225036357","Edaphic factors and elevation gradient influence arbuscular mycorrhizal colonization and spore density in the rhizosphere of Shorea robusta Gaertn","2023","Acta Ecologica Sinica","","","","","","","3","10.1016/j.chnaes.2023.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163320290&doi=10.1016%2fj.chnaes.2023.05.011&partnerID=40&md5=f67e3e70f29301037a1549d390af1195","Article","Article in press","","Scopus","2-s2.0-85163320290"
"Santos R.C.; Pareyn F.G.C.; Santos C.P.S.; Minini D.; Rocha S.M.G.; Souza F.J.O.; Cezario L.F.C.; Dias Júnior A.F.; Castro R.V.O.","Santos, R.C. (35104836800); Pareyn, F.G.C. (14063822600); Santos, C.P.S. (58386955100); Minini, D. (57209398457); Rocha, S.M.G. (56211048600); Souza, F.J.O. (57841818500); Cezario, L.F.C. (57218585879); Dias Júnior, A.F. (57094157500); Castro, R.V.O. (36642334500)","35104836800; 14063822600; 58386955100; 57209398457; 56211048600; 57841818500; 57218585879; 57094157500; 36642334500","Quantification of Wood Biomass in an Area of Sustainable Annual Production in the Brazilian Semiarid Region Aiming at Generating Renewable Energy","2023","Bioenergy Research","16","2","","817","825","8","0","10.1007/s12155-022-10495-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135816104&doi=10.1007%2fs12155-022-10495-1&partnerID=40&md5=5f75f57ec86d5afc354ced60e669a5e2","Article","Final","","Scopus","2-s2.0-85135816104"
"Dantas A.; Fonseca C.R.","Dantas, Anderson (57919199500); Fonseca, Carlos Roberto (55989546500)","57919199500; 55989546500","Global biogeographical patterns of ants and their abiotic determinants","2023","Perspectives in Ecology and Conservation","21","3","","237","246","9","6","10.1016/j.pecon.2023.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165674714&doi=10.1016%2fj.pecon.2023.07.003&partnerID=40&md5=1f78f6de7cbcde79eb477a874c9092c4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85165674714"
"Monteiro R.; Andrades R.; Noleto-Filho E.; Pegado T.; Morais L.; Gonçalves M.; Santos R.; Sbrana A.; Franceschini S.; Soares M.O.; Russo T.; Giarrizzo T.","Monteiro, Raqueline (57201745935); Andrades, Ryan (55388609000); Noleto-Filho, Eurico (57193221125); Pegado, Tamyris (57202549929); Morais, Leonardo (57217183575); Gonçalves, Myckey (57219437422); Santos, Robson (7201375128); Sbrana, Alice (57209877901); Franceschini, Simone (57188689926); Soares, Marcelo O. (36618032200); Russo, Tommaso (55444853500); Giarrizzo, Tommaso (17345581900)","57201745935; 55388609000; 57193221125; 57202549929; 57217183575; 57219437422; 7201375128; 57209877901; 57188689926; 36618032200; 55444853500; 17345581900","GLOVE: The Global Plastic Ingestion Initiative for a cleaner world","2022","Marine Pollution Bulletin","185","","114244","","","","4","10.1016/j.marpolbul.2022.114244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140310132&doi=10.1016%2fj.marpolbul.2022.114244&partnerID=40&md5=224ddfb49764a3a716e6319f9c4f4c14","Article","Final","","Scopus","2-s2.0-85140310132"
"Nunes V.L.; Cutrim C.H.G.; de Azevedo Koch E.B.; Araújo V.A.","Nunes, Vitória Lopes (57221521740); Cutrim, Caio Henrique Gonçalves (57224644967); de Azevedo Koch, Elmo Borges (56312595600); Araújo, Vinícius Albano (22956997900)","57221521740; 57224644967; 56312595600; 22956997900","Anthropogenic threats associated with mortality and biomass of stranded sea turtles on the northern coast of São Paulo State, Brazil","2023","International Journal of Environmental Studies","80","6","","1912","1926","14","2","10.1080/00207233.2023.2216609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161368699&doi=10.1080%2f00207233.2023.2216609&partnerID=40&md5=dab71c949ff0136be6a910c5531dd671","Article","Final","","Scopus","2-s2.0-85161368699"
"Menezes J.; Tenorio M.","Menezes, J. (13805898100); Tenorio, M. (57453652400)","13805898100; 57453652400","Spatial patterns and biodiversity in rock-paper-scissors models with regional unevenness","2023","Journal of Physics: Complexity","4","2","025015","","","","2","10.1088/2632-072X/acd610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160814833&doi=10.1088%2f2632-072X%2facd610&partnerID=40&md5=046c51fb6a668a6f89c9ac79dd5ef849","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160814833"
"Collyer G.; Perkins D.M.; Petsch D.K.; Siqueira T.; Saito V.","Collyer, Giovanna (58026950600); Perkins, Daniel M. (35318508500); Petsch, Danielle K. (55923335500); Siqueira, Tadeu (24466055600); Saito, Victor (55578730800)","58026950600; 35318508500; 55923335500; 24466055600; 55578730800","Land-use intensification systematically alters the size structure of aquatic communities in the Neotropics","2023","Global Change Biology","29","14","","4094","4106","12","6","10.1111/gcb.16720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157967852&doi=10.1111%2fgcb.16720&partnerID=40&md5=d4694b73be23838b2793fbad5df95871","Article","Final","","Scopus","2-s2.0-85157967852"
"Fagundes M.V.; Mazzochini G.G.; Ganade G.","Fagundes, Marina V. (57202319243); Mazzochini, Guilherme G. (54780172900); Ganade, Gislene (6603305702)","57202319243; 54780172900; 6603305702","The role of plant diversity and facilitation during tropical dry forest restoration","2023","Journal of Ecology","111","6","","1231","1241","10","2","10.1111/1365-2745.14091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150809160&doi=10.1111%2f1365-2745.14091&partnerID=40&md5=3f93166af396a4d65449cda4ad66587e","Article","Final","","Scopus","2-s2.0-85150809160"
"Vasconcelos R.M.D.; Silva L.L.C.; González M.O.A.; Santiso A.M.; de Melo D.C.","Vasconcelos, Rafael Monteiro de (57192078741); Silva, Lara Luana Cirilo (57198466771); González, Mario Orestes Aguirre (55237687400); Santiso, Andressa Medeiros (57218374167); de Melo, David Cassimiro (57200523083)","57192078741; 57198466771; 55237687400; 57218374167; 57200523083","Environmental licensing for offshore wind farms: Guidelines and policy implications for new markets","2022","Energy Policy","171","","113248","","","","9","10.1016/j.enpol.2022.113248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138666152&doi=10.1016%2fj.enpol.2022.113248&partnerID=40&md5=0a7a18feec209cb6d22ea3b76653a012","Article","Final","","Scopus","2-s2.0-85138666152"
"Moreira A.L.P.; de Medeiros P.R.; Roos N.C.","Moreira, Ana Luisa P. (57217581762); de Medeiros, Paulo R. (22834390200); Roos, Natalia C. (56865614100)","57217581762; 22834390200; 56865614100","Two ubiquitous parrotfishes exhibit distinct foraging ecologies on tropical Brazilian reefs","2024","Marine Ecology Progress Series","730","","","79","93","14","0","10.3354/meps14522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196023444&doi=10.3354%2fmeps14522&partnerID=40&md5=52fba6af4a5c24c5294eaad6bb717dfb","Article","Final","","Scopus","2-s2.0-85196023444"
"Albuquerque U.P.; Maroyi A.; Ladio A.H.; Pieroni A.; Abbasi A.M.; Toledo B.A.; Dahdouh-Guebas F.; Hallwass G.; Soldati G.T.; Odonne G.; Vandebroek I.; Vallès J.; Hurrell J.A.; Pardo de Santayana M.; La Torre-Cuadros M.D.L.Á.; Silva M.T.P.; Jacob M.C.M.; da Fonseca-Kruel V.S.; Ferreira Júnior W.S.","Albuquerque, Ulysses Paulino (57222878304); Maroyi, Alfred (25628527100); Ladio, Ana H. (6603227336); Pieroni, Andrea (7004092892); Abbasi, Arshad Mehmood (26643741300); Toledo, Bárbara Arias (35318997500); Dahdouh-Guebas, Farid (8964136400); Hallwass, Gustavo (36666182300); Soldati, Gustavo Taboada (36337981000); Odonne, Guillaume (15926113900); Vandebroek, Ina (6507733866); Vallès, Joan (7102431380); Hurrell, Julio Alberto (37461205300); Pardo de Santayana, Manuel (57225094962); La Torre-Cuadros, María de los Ángeles (8074848600); Silva, María Teresa Pulido (57213772881); Jacob, Michelle Cristine Medeiros (57200676874); da Fonseca-Kruel, Viviane Stern (21740664600); Ferreira Júnior, Washington Soares (38761187800)","57222878304; 25628527100; 6603227336; 7004092892; 26643741300; 35318997500; 8964136400; 36666182300; 36337981000; 15926113900; 6507733866; 7102431380; 37461205300; 57225094962; 8074848600; 57213772881; 57200676874; 21740664600; 38761187800","Advancing ethnobiology for the ecological transition and a more inclusive and just world: a comprehensive framework for the next 20 years","2024","Journal of Ethnobiology and Ethnomedicine","20","1","18","","","","3","10.1186/s13002-024-00661-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185243851&doi=10.1186%2fs13002-024-00661-4&partnerID=40&md5=30d98a665b07f63104161bfe9acb852c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185243851"
"de Souza E.C.; Gomes J.P.S.; Pimenta A.S.; de Azevedo T.K.B.; Pereira A.K.S.; Gomes R.M.; Brito J.O.; Dias Júnior A.F.","de Souza, Elias Costa (57211678039); Gomes, João Paulo Silva (57920077500); Pimenta, Alexandre Santos (56228389300); de Azevedo, Tatiane Kelly Barbosa (36600290300); Pereira, Allana Katiussya Silva (57201443545); Gomes, Regina Maria (57218263617); Brito, José Otávio (7101605642); Dias Júnior, Ananias Francisco (57094157500)","57211678039; 57920077500; 56228389300; 36600290300; 57201443545; 57218263617; 7101605642; 57094157500","Briquette production as a sustainable alternative for waste management in the tannin extraction industry","2023","Environmental Science and Pollution Research","30","7","","18078","18090","12","5","10.1007/s11356-022-23490-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139511087&doi=10.1007%2fs11356-022-23490-y&partnerID=40&md5=d62714289478080c142a4a5080737b84","Article","Final","","Scopus","2-s2.0-85139511087"
"Menezes J.; Rodrigues S.; Batista S.","Menezes, J. (13805898100); Rodrigues, S. (57667393800); Batista, S. (57453652300)","13805898100; 57667393800; 57453652300","Mobility unevenness in rock–paper–scissors models","2022","Ecological Complexity","52","","101028","","","","5","10.1016/j.ecocom.2022.101028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143278537&doi=10.1016%2fj.ecocom.2022.101028&partnerID=40&md5=8dadd5b7d4993d2744814eac1fcfd7b0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85143278537"
"Cardoso M.M.L.; de Souza A.H.F.F.","Cardoso, Maria Marcolina Lima (55851366400); de Souza, Artur Henrique Freitas Florentino (58701010300)","55851366400; 58701010300","Effects of an Introduced Benthivorous Fish on Macroinvertebrates Diversity in a Semiarid Shallow Lake","2023","Fronteiras","12","3","","261","279","18","0","10.21664/2238-8869.2023V12I3.P261-279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177173683&doi=10.21664%2f2238-8869.2023V12I3.P261-279&partnerID=40&md5=a55a46f6db1b6e9e7f0760fcbac130fc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85177173683"
"da Silva H.F.; Assunção A.R.; Aciole D.D.S.B.; Barbosa F.R.; Fiuza P.O.","da Silva, Heloysa Farias (58198802900); Assunção, Amanda Regis (58220176200); Aciole, Douglas de Souza Braga (58198622500); Barbosa, Flavia Rodrigues (55666846600); Fiuza, Patrícia Oliveira (48161198700)","58198802900; 58220176200; 58198622500; 55666846600; 48161198700","Aquatic hyphomycetes associated with plant debris in freshwater ecosystems of the Atlantic Forest of Rio Grande do Norte, Brazil","2023","New Zealand Journal of Botany","","","","","","","0","10.1080/0028825X.2023.2201456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156176426&doi=10.1080%2f0028825X.2023.2201456&partnerID=40&md5=e71e5b66a0fd1d04fce682d7a2a45a15","Article","Article in press","","Scopus","2-s2.0-85156176426"
"Vargas-Mena J.C.; Cordero-Schmidt E.; Rodríguez-Herrera B.; Venticinque E.M.","Vargas-Mena, Juan Carlos (57192099356); Cordero-Schmidt, Eugenia (57164048600); Rodríguez-Herrera, Bernal (8714608600); Venticinque, Eduardo Martins (6505876898)","57192099356; 57164048600; 8714608600; 6505876898","Differences in the structure of bat assemblages among habitats in the Caatinga dry forest","2023","Journal of Tropical Ecology","39","6","e42","","","","0","10.1017/S0266467423000317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179946386&doi=10.1017%2fS0266467423000317&partnerID=40&md5=c42a2b5fc1661b3245b113c274b41544","Article","Final","","Scopus","2-s2.0-85179946386"
"de Souza C.V.S.; Seabra L.M.J.; Hatjiathanassiadou M.; Vale D.; de Medeiros G.C.B.S.; Marchioni D.M.L.; Lima S.C.V.C.; de Oliveira Lyra C.","de Souza, Camila Valdejane Silva (57219571051); Seabra, Larissa Mont’Alverne Jucá (6602954972); Hatjiathanassiadou, Maria (57211355119); Vale, Diogo (57207937062); de Medeiros, Gidyenne Christine Bandeira Silva (57205474992); Marchioni, Dirce Maria Lobo (6603666634); Lima, Severina Carla Vieira Cunha (57218390090); de Oliveira Lyra, Clélia (55811730200)","57219571051; 6602954972; 57211355119; 57207937062; 57205474992; 6603666634; 57218390090; 55811730200","Environmental footprints of food consumption: Protocol for a systematic literature review","2022","PLoS ONE","17","11 November","e0277227","","","","2","10.1371/journal.pone.0277227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141893146&doi=10.1371%2fjournal.pone.0277227&partnerID=40&md5=50759ca0c714c7ff4f48590014ab1682","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85141893146"
